Designator,Mid X,Mid Y,Layer,Rotation
R126,185.25,-34.80,T,270.00
R126,53.25,-34.80,T,270.00
R127,194.13,-34.82,T,315.00
R127,62.13,-34.82,T,315.00
R128,84.99,-39.74,T,90.00
R128,216.99,-39.74,T,90.00
R129,97.98,-38.77,T,0.00
R129,229.98,-38.77,T,0.00
R130,239.96,-23.77,T,180.00
R130,107.96,-23.77,T,180.00
R131,244.87,-46.82,T,315.00
R131,112.87,-46.82,T,315.00
R132,34.51,-46.75,T,90.00
R132,166.51,-46.75,T,90.00
R133,172.41,-38.60,T,0.00
R133,40.41,-38.60,T,0.00
R134,64.29,-23.77,T,180.00
R134,196.29,-23.77,T,180.00
R135,189.16,-41.85,T,315.00
R135,57.16,-41.85,T,315.00
R136,205.93,-50.77,T,0.00
R136,73.93,-50.77,T,0.00
R137,218.99,-39.77,T,270.00
R137,86.99,-39.77,T,270.00
R138,118.95,-34.76,T,90.00
R138,250.95,-34.76,T,90.00
R139,166.51,-43.26,T,90.00
R139,34.51,-43.26,T,90.00
R140,43.91,-38.77,T,0.00
R140,175.91,-38.77,T,0.00
R141,60.79,-23.77,T,180.00
R141,192.79,-23.77,T,180.00
R142,59.64,-44.33,T,315.00
R142,191.64,-44.33,T,315.00
R143,77.46,-50.77,T,0.00
R143,209.46,-50.77,T,0.00
R144,86.99,-43.25,T,270.00
R144,218.99,-43.25,T,270.00
R145,250.95,-31.27,T,90.00
R145,118.95,-31.27,T,90.00
R146,34.51,-39.75,T,90.00
R146,166.51,-39.75,T,90.00
R147,179.40,-38.77,T,0.00
R147,47.40,-38.77,T,0.00
R148,189.27,-23.77,T,180.00
R148,57.27,-23.77,T,180.00
R149,194.13,-46.82,T,315.00
R149,62.13,-46.82,T,315.00
R150,213.01,-50.77,T,0.00
R150,81.01,-50.77,T,0.00
R151,86.99,-46.77,T,270.00
R151,218.99,-46.77,T,270.00
R152,118.95,-27.76,T,90.00
R152,250.95,-27.76,T,90.00
R153,23.58,-50.77,T,0.00
R153,155.58,-50.77,T,0.00
R154,168.51,-39.78,T,270.00
R154,36.51,-39.78,T,270.00
R155,200.04,-34.76,T,90.00
R155,68.04,-34.76,T,90.00
R156,202.04,-27.80,T,270.00
R156,70.04,-27.80,T,270.00
R157,205.89,-29.83,T,315.00
R157,73.89,-29.83,T,315.00
R158,233.95,-46.73,T,90.00
R158,101.95,-46.73,T,90.00
R159,239.94,-38.60,T,0.00
R159,107.94,-38.60,T,0.00
R160,159.09,-50.77,T,0.00
R160,27.09,-50.77,T,0.00
R161,168.51,-43.25,T,270.00
R161,36.51,-43.25,T,270.00
R162,200.04,-31.27,T,90.00
R162,68.04,-31.27,T,90.00
R163,70.04,-31.27,T,270.00
R163,202.04,-31.27,T,270.00
R164,208.39,-32.33,T,315.00
R164,76.39,-32.33,T,315.00
R165,101.95,-43.25,T,90.00
R165,233.95,-43.25,T,90.00
R166,243.45,-38.77,T,0.00
R166,111.45,-38.77,T,0.00
R167,30.62,-50.77,T,0.00
R167,162.62,-50.77,T,0.00
R168,168.51,-46.76,T,270.00
R168,36.51,-46.76,T,270.00
R169,200.04,-27.76,T,90.00
R169,68.04,-27.76,T,90.00
R170,202.04,-34.79,T,270.00
R170,70.04,-34.79,T,270.00
R171,210.89,-34.83,T,315.00
R171,78.89,-34.83,T,315.00
R172,101.95,-39.74,T,90.00
R172,233.95,-39.74,T,90.00
R173,246.97,-38.77,T,0.00
R173,114.97,-38.77,T,0.00
R175,206.20,-72.20,T,0.00
R175,74.20,-72.20,T,0.00
R176,74.20,-69.20,T,0.00
R176,206.20,-69.20,T,0.00
R177,210.60,-57.95,T,0.00
R177,78.60,-57.95,T,0.00
R178,245.20,-67.00,T,0.00
R178,113.20,-67.00,T,0.00
R179,71.60,-56.74,T,270.00
R179,203.60,-56.74,T,270.00
R180,71.60,-54.74,T,270.00
R180,203.60,-54.74,T,270.00
R181,156.00,-60.60,T,90.00
R181,24.00,-60.60,T,90.00
R182,25.00,-60.60,T,270.00
